epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate,rmse_limpio,rmse_leve,rmse_moderado,rmse_alto,rmse_crítico
1,18.226297471589437,11.936185059776692,7.708371162414551,0.8228891491889954,0.021872265966754154,0.0001,4.2317123,5.0995665,12.646929,19.355124,17.300205
2,12.451234312013844,9.799313624579979,5.81791877746582,0.8806272149085999,0.0,0.0001,5.1094775,4.699993,10.359863,14.366833,14.364073
3,11.874564991816124,8.751078711585965,5.046126365661621,0.9047999382019043,0.03280839895013123,0.0001,6.591337,5.423248,8.761796,11.758341,11.767619
4,11.439883801868346,8.680486139220513,5.2508463859558105,0.9063296318054199,0.0,0.0001,7.5351505,5.9171357,8.704901,11.724422,10.357134
5,11.258818370397908,8.551626865496925,4.611421585083008,0.9090900421142578,0.0,0.0001,5.6476097,4.799787,9.386811,12.721137,11.238523
6,11.126288395024215,8.575943540335079,4.8972063064575195,0.908572256565094,0.0,0.0001,5.9767065,4.665529,9.380761,12.208692,11.510535
7,10.943625212916134,8.807902573410868,5.142213344573975,0.9035595655441284,0.4374453193350831,0.0001,7.4626775,5.867292,9.115139,11.573265,10.9242325
8,10.855881519400842,8.273752505855882,4.297607898712158,0.9149020314216614,0.10936132983377078,0.0001,6.215035,4.8937325,9.287794,12.370917,9.986681
9,10.65922154522684,8.348155489596207,4.97733736038208,0.9133646488189697,0.0,0.0001,6.871701,5.8020887,9.139593,11.09007,10.1402025
10,10.477622822731126,8.155481418350849,4.384242534637451,0.9173175692558289,0.0,0.0001,6.00357,4.956297,8.811699,12.181985,10.0234165
11,10.395077642856664,8.372082534049024,4.167957305908203,0.9128673076629639,0.03280839895013123,0.0001,5.2988496,5.286208,9.779837,12.71757,10.443735
12,10.252547798639062,8.218480879018012,4.349730491638184,0.9160352349281311,0.06561679790026247,0.0001,5.713998,4.973862,9.472315,12.451241,10.037118
13,10.04535068282863,7.9722006691494665,4.378869533538818,0.9209920763969421,0.0,0.0001,5.757834,5.577654,9.058974,11.656286,9.4849825
14,9.755439473505973,8.326866277180088,4.9290900230407715,0.9138059616088867,0.0,0.0001,5.7246766,4.561861,9.301322,12.20432,10.90157
15,9.676979687043158,8.444097884658959,5.0134968757629395,0.9113618731498718,0.0,0.0001,6.227994,5.402703,8.4416485,11.832434,11.044929
16,9.449016017822084,8.386839984102423,4.264841079711914,0.9125598669052124,0.0,0.0001,6.593153,6.421513,9.368122,11.980124,9.356645
17,9.334021255180183,7.8616631175976135,4.130368709564209,0.9231678247451782,0.06561679790026247,0.0001,5.064319,4.9190135,9.124222,12.326553,9.465679
18,9.165572295284276,8.058096755093754,4.158744812011719,0.9192804098129272,0.0,0.0001,6.048957,6.153561,9.564447,12.2174835,8.414738
19,9.02178453835473,8.327922929142314,4.077893257141113,0.9137840867042542,0.21872265966754156,0.0001,6.0588565,6.261796,9.398831,11.836913,9.86765
20,8.873596462164237,8.279507419266194,4.458554744720459,0.9147835969924927,0.0,0.0001,5.878129,5.048058,9.644041,12.304865,10.140094
21,8.698129110233781,8.620829972767353,4.769796371459961,0.907612681388855,0.0,0.0001,5.2392793,5.18085,9.978952,12.600982,11.467279
22,8.745603347996813,8.33274933898829,3.94964861869812,0.9136841297149658,0.0,0.0001,5.9571066,5.096203,9.99437,12.740823,9.740804
23,8.500092900423295,8.656317402301193,4.502522945404053,0.9068505167961121,0.08748906386701662,0.0001,6.0937395,8.006131,10.5206585,11.863695,9.227765
24,8.48550433892452,8.404836493484519,4.39007568359375,0.9121842384338379,0.0,0.0001,5.9464774,5.4049983,9.755743,12.617651,10.058197
25,8.348525343778297,8.147206093025734,4.157461643218994,0.917485237121582,0.0,5e-05,6.1916804,5.466255,9.633807,12.604301,8.777965
26,8.113190920542372,8.22574945796529,3.9980273246765137,0.915886640548706,0.0,5e-05,4.1894307,5.140684,10.063767,12.65819,10.666704
27,7.696566395313746,8.280484672096062,4.098228454589844,0.9147635102272034,0.010936132983377077,5e-05,5.1682935,4.9952784,9.677839,12.91801,10.233456
28,7.6468098181793325,8.012016572755266,4.183689594268799,0.9202009439468384,0.17497812773403323,5e-05,6.1406145,6.6640344,9.087546,11.251158,8.779493
29,7.607434283172939,8.11588527140196,4.169390678405762,0.9181184768676758,0.0,5e-05,5.2390175,5.006285,9.142284,12.326788,10.243523
30,7.540037595677789,7.9745017313401405,4.075413227081299,0.920946478843689,0.0,5e-05,5.3590784,5.274206,9.528997,11.970028,9.586862
31,7.49491227705547,8.284159879241484,4.152909755706787,0.9146878123283386,0.0,5e-05,5.49211,5.640973,9.487325,11.9748535,10.451046
32,7.57395620909733,8.071502099419007,4.145548343658447,0.9190115928649902,0.0,5e-05,5.4949617,5.8571625,9.252075,11.905579,9.639886
33,7.450490512545084,8.262780936649541,4.367221832275391,0.9151275753974915,0.0,2.5e-05,5.113375,5.209702,9.362804,12.363,10.657208
34,7.345744594772719,7.9212200996942785,3.780672550201416,0.9219993352890015,0.0,2.5e-05,5.325126,5.575433,9.37313,11.976231,9.269068
