epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate,rmse_limpio,rmse_leve,rmse_moderado,rmse_alto,rmse_crítico
1,16.47427487371942,13.19620317151422,10.364938735961914,0.7850433588027954,0.0437445319335083,0.0001,16.599213,10.995392,8.508266,10.166366,13.1088085
2,12.288714326264325,13.646065521022754,9.987825393676758,0.7701376676559448,0.0,0.0001999999999999,7.586954,4.0789537,8.154014,17.448061,23.31934
3,12.11316286904313,17.146529113340122,12.683403968811035,0.6370846033096313,0.0,0.0003,7.8128753,3.4379249,9.60316,23.23036,29.754152
4,11.858141795202302,16.15374547918268,11.81100845336914,0.6778935194015503,0.0,0.0003,7.959896,4.144836,7.6558704,18.850851,29.303818
5,11.344942482003791,14.420044804251267,10.787264823913574,0.7433234453201294,0.0,0.0003,8.1102705,4.3244095,7.95415,16.98534,25.390753
6,10.973849117320112,11.476982814436589,8.190954208374023,0.8374045491218567,0.0,0.0003,7.9120846,5.2025123,7.3456254,13.204563,18.951899
7,10.633660157701865,11.236925744187426,8.008237838745117,0.8441352248191833,0.0,0.0003,8.183976,5.6581464,7.654632,12.368348,18.265423
8,10.385490017352502,11.449057353101225,8.037152290344238,0.8381948471069336,0.0,0.0003,7.4296775,4.5011234,9.141656,15.394993,17.878767
9,10.30233779282236,11.442980819722845,7.971596717834473,0.8383665084838867,0.0,0.0003,7.2005777,4.6039605,7.7953978,14.573014,18.696264
10,10.161292384466018,11.666838791632014,8.738365173339844,0.8319806456565857,0.0,0.0003,9.4654455,5.681434,7.022266,14.017274,17.8873
11,10.065567748623256,11.269090785438022,7.683610916137695,0.8432416319847107,0.0,0.0003,7.803751,5.019573,7.5457563,12.61779,18.721058
12,10.014121129820566,10.67299099163267,7.206242561340332,0.8593870401382446,0.0,0.0003,7.348504,4.8269176,7.673399,12.847079,17.204802
13,9.93519376178363,10.59685073897976,7.030460357666016,0.8613861799240112,0.0,0.0003,7.545447,5.0559926,7.455923,12.675252,16.90155
14,9.882249679324282,10.881555136702977,7.026005268096924,0.8538378477096558,0.0,0.0003,6.6839814,4.788966,7.757051,13.229318,18.017687
15,9.81127943019001,10.742848339936724,6.715777397155762,0.8575403690338135,0.0,0.0003,5.8325634,4.5078807,8.739637,13.592752,17.775854
16,9.79726394082926,9.875065590759244,6.816987991333008,0.8796259164810181,0.0,0.0003,9.706959,6.41101,7.191908,11.003148,13.027702
17,9.726366319391138,10.086805693566,6.66536808013916,0.874408483505249,0.0,0.0003,7.8187704,5.2655845,7.3790283,12.373952,15.239217
18,9.676122688934525,9.62298999690349,5.845128059387207,0.8856929540634155,0.0,0.0003,6.774154,5.4243827,8.3554125,12.661947,14.089449
19,9.657989430115672,10.359148014183976,6.944972515106201,0.8675350546836853,0.0,0.0003,8.213486,5.6296616,7.0873733,11.449907,16.170874
20,9.622118785948562,10.30577002910084,7.334529399871826,0.8688966035842896,0.0,0.0003,9.982121,7.4978256,7.257113,11.636504,13.2486105
21,9.58777551614543,10.632829700063445,7.317627906799316,0.8604432940483093,0.0,0.0003,8.332074,5.4387727,6.6093087,12.161765,16.719137
22,9.568075410526646,10.295801122884615,7.049983024597168,0.8691501617431641,0.0,0.0003,8.374726295471191,5.16980504989624,7.082613468170166,12.123785972595217,15.68358325958252
23,9.528240847394704,10.722131388676544,7.385129451751709,0.85808926820755,0.0,0.0003,10.010906219482422,6.623318195343018,7.155823707580566,10.90717315673828,15.563475608825684
24,9.479834238310644,10.115758190085003,6.813382148742676,0.8736864924430847,0.0,0.00015,8.063918113708496,5.554941654205322,7.386043548583984,11.710278511047363,15.377026557922363
25,9.314611068730876,10.137963301078978,6.682033061981201,0.8731313347816467,0.0,0.00015,8.205349922180176,5.483773231506348,7.305536270141602,11.590150833129885,15.440324783325195
26,9.204420147607019,10.346587762844278,7.171219825744629,0.8678560853004456,0.0,0.00015,8.38880443572998,5.01627254486084,6.987669944763184,11.92715835571289,16.005800247192383
27,9.166506156246186,10.782633251600123,7.402677059173584,0.8564832210540771,0.0,0.00015,8.97818660736084,6.192000389099121,7.105729579925537,11.330557823181152,16.684152603149414
28,9.092418482713903,10.305894208547254,6.9335432052612305,0.8688935041427612,0.0,0.00015,7.678530693054199,5.32501745223999,7.073841094970703,11.564301490783691,16.46953773498535
29,9.157866293300787,10.36399759244915,6.920542240142822,0.8674110174179077,0.0,0.00015,8.276299476623535,5.732773780822754,7.362360954284668,11.533373832702637,16.002382278442383
30,9.178592819590165,10.351541241580046,6.874255657196045,0.8677294850349426,0.0,7.5e-05,7.659996032714844,5.143837928771973,7.38068151473999,11.689631462097168,16.566362380981445
