epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate,rmse_limpio,rmse_leve,rmse_moderado,rmse_alto,rmse_crítico
41,10.585479059328843,8.946475774536097,5.7736897468566895,0.901199996471405,0.0,0.00015,8.2036295,5.823303,7.3314414,11.527783,11.25294
42,10.500987556069642,8.891106553812959,5.410356998443604,0.9024191498756408,0.0,0.00015,8.565172,5.9605947,7.3680882,11.223962,10.741386
43,10.495305852970835,8.745406022284714,5.124851703643799,0.9055911302566528,0.0328083989501312,0.00015,7.5380907,4.9868574,7.6838655,11.912568,11.289373
44,10.48802603524,8.729295215992702,5.046552658081055,0.9059386253356934,0.0,0.00015,7.8470087,5.389228,8.009505,12.001151,10.513541
45,10.459849555778783,9.503335789639127,6.358283042907715,0.8885179162025452,0.0218722659667541,7.5e-05,9.643095016479492,6.716041564941406,7.542366981506348,11.642984390258787,10.98385238647461
46,10.361281345483285,8.74293109537366,5.430279731750488,0.9056445360183716,0.0,7.5e-05,8.177081108093262,5.327567100524902,7.346667766571045,11.61509895324707,10.720473289489746
47,10.298895149283773,8.87474712163718,5.483133792877197,0.902777910232544,0.0,7.5e-05,8.466592788696289,5.728382110595703,7.310198783874512,11.49256420135498,10.761211395263672
48,10.263141395870816,8.892534192818857,5.778238296508789,0.902387797832489,0.0,7.5e-05,8.456565856933594,5.898710250854492,7.195438385009766,11.349510192871094,10.874981880187988
49,10.337361297179877,8.818070042434156,5.510712146759033,0.9040157198905944,0.0,7.5e-05,8.830412864685059,5.521553039550781,6.945835590362549,11.501006126403809,10.30344295501709
50,10.123986333921444,8.814255386803579,5.56782341003418,0.9040987491607666,0.010936132983377077,7.5e-05,8.491914749145508,5.79835319519043,7.484604835510254,11.644840240478516,10.277877807617188
