epoch,train_rmse,val_rmse,val_mae,val_r2,val_out_of_bounds,learning_rate,rmse_limpio,rmse_leve,rmse_moderado,rmse_alto,rmse_crítico
1,18.946318539315367,25.25877714584425,21.685489654541016,0.2124509811401367,2.2965879265091864,0.0001,34.669773,24.852327,18.157701,16.980433,13.167911
2,14.360264882221484,10.156173215437583,6.789995670318604,0.8726751804351807,0.0,0.0001,8.770226,5.8061247,8.871568,13.295502,13.478213
3,13.54573373886244,10.27214750823262,7.144548416137695,0.8697506785392761,0.2952755905511811,0.0001,9.289942,5.7762523,9.263356,13.159057,13.361375
4,13.133531585231976,10.02782995738807,5.811131477355957,0.8758728504180908,0.0,0.0001,5.930844,4.048266,9.576841,15.3451805,14.377907
5,12.930094853458698,11.74000269014653,9.2577486038208,0.8298666477203369,0.0,0.0001,11.027637,6.2514267,6.4739976,14.245105,16.445002
6,12.716683797512728,9.669237668776212,5.807590961456299,0.8845915794372559,0.284339457567804,0.0001,7.5009694,4.603669,8.734791,14.141796,12.89953
7,12.654232201673365,10.986145447682912,7.970802307128906,0.8510146141052246,0.0,0.0001,11.72824,6.616867,6.906805,12.791035,13.555154
8,12.422663971127102,9.92551024406432,6.505185604095459,0.8783929944038391,0.0,0.0001,8.156806,5.3180227,8.054359,13.145246,13.788578
9,12.35391022179677,9.508333426334792,5.780564308166504,0.8884006142616272,0.010936132983377,0.0001,7.310109,4.716601,8.236871,13.234385,13.24388
10,12.353225132670806,9.65166123756532,5.534766674041748,0.8850107789039612,0.142169728783902,0.0001,6.766761,4.8060036,8.805189,14.392524,13.157945
11,12.260112354796208,9.44729661880806,5.759519577026367,0.8898288011550903,0.0,0.0001,7.5928617,4.532124,8.270634,13.3739605,12.752869
12,12.129425889100052,9.313325372282062,5.353554725646973,0.8929312825202942,0.1202974628171478,0.0001,7.356814,4.731314,8.089201,13.207755,12.578711
13,12.091649881945536,9.56143712773718,6.160099506378174,0.8871505856513977,0.0,0.0001,9.172556,5.4221544,7.6122465,12.502246,11.93845
14,12.006312503231214,9.1397710387901,4.810013294219971,0.896884560585022,0.0,0.0001,6.069455,4.635873,9.578075,13.49909,12.401787
15,11.958089479956188,9.231699556890993,5.42283296585083,0.8947998881340027,0.0,0.0001,6.7320905,5.6681705,8.7248535,13.017142,12.339236
16,11.952050306370454,9.219010842884318,5.242218494415283,0.8950888514518738,0.2296587926509186,0.0001,6.797963,4.561588,8.553771,13.081248,12.756235
17,11.876635067572852,8.966366128055727,5.086928367614746,0.9007601737976074,0.0,0.0001,7.2215505,4.562698,8.390938,12.904047,11.667032
18,11.835929180801498,9.235120051468233,5.569000720977783,0.8947219252586365,0.0765529308836395,0.0001,8.248828,5.1139216,8.293523,12.190702,11.92268
19,11.873005129531087,9.150073721315104,5.455617427825928,0.8966519832611084,0.1093613298337707,0.0001,7.7789235,5.5628633,8.517331,12.399161,11.645669
20,11.716840572308437,9.127535931428302,5.452152729034424,0.8971604704856873,0.2405949256342957,0.0001,8.518442,5.542596,8.068306,11.978273,11.214548
21,11.711379849017808,9.390169387938505,5.854827880859375,0.8911571502685547,0.0,0.0001,7.254234,4.757761,7.863139,12.873202,13.212378
22,11.698499435580942,9.608374481377396,6.258820056915283,0.8860399127006531,0.0,0.0001,8.903032,6.005373,7.7472506,11.6022415,12.674692
23,11.630821810541482,9.330309077339283,5.690711975097656,0.892540454864502,0.0,0.0001,7.1366773,4.2978997,8.406821,12.79129,13.199118
