epoch,train_loss,val_loss,test_loss,train_mae,val_mae,test_mae
1,185.50305759323223,115.45830458527678,112.25408720803428,9.3102571161199,7.191694187951255,7.216797228459711
2,121.48199766332452,95.64738854494962,93.30272403463616,7.14904129644096,5.279406703435457,5.297897192148062
3,125.7128355653136,88.39962889264514,88.08264637993766,7.143607643934397,5.407625556825758,5.425349672357519
4,115.97225352378436,99.7636646390795,97.4088479022046,6.822501048341498,6.282733031086154,6.297410017126924
5,104.88218843909132,90.174914046601,87.20031502530291,6.544529098730821,5.014796772203245,5.057025645162676
6,114.38168965630877,85.58227684781268,84.73438294950898,6.776588594996846,5.528301104799017,5.511376414265666
7,106.58792395691772,89.82106374193738,88.16763549751334,6.488393943626564,6.030311596143496,5.973661984597053
8,104.7350977250746,99.25299601788288,96.8867310277232,6.480179264273121,6.816918716564045,6.75816095625604
9,102.71725552120964,87.54240474167403,85.44638388306944,6.382998721305029,5.91640055179596,5.859989843168459
10,104.81683916256422,87.17064317623219,84.65985607600712,6.378321535659559,5.810840119848718,5.7375021022516535
11,103.12190261920848,77.03274352400453,74.14398067981213,6.3196608022654255,5.14303728917262,5.171212348904643
12,99.01757803719084,76.2405028776689,71.19956970548296,6.222581963994842,4.87402499055529,4.789374764149006
13,96.98066287051826,79.3956322803364,74.67680665663072,6.124149468117382,5.195458577229426,5.165876200982741
14,91.56263952099638,75.87349103880929,74.67821064862338,6.007594926096065,4.410669743597924,4.4482785788449375
15,98.31358807681602,74.41465356800106,72.27789062553353,6.125032211239243,4.928300642467045,4.890730391849171
16,92.561049560289,78.70123732506812,76.10017539071036,5.954470141228541,5.4317376897051615,5.395564191824906
17,93.10255244728567,74.49040475591913,72.13729021099064,5.997211195650078,4.956830018050187,4.944429786888869
18,91.66191331489937,82.4239667745737,79.5614566069383,5.959808081457942,5.531203173257254,5.484280291970793
19,93.82838182849484,72.36181301503748,71.2114802940742,6.015010039567391,4.881232012401927,4.887587721531208
20,88.5156093310643,77.23387568147032,73.01339163480105,5.832502412907171,4.957084171421878,4.941837016519133
21,85.50664573171478,72.26100973816185,71.27856284088188,5.782772168968663,4.378614289360447,4.403337951723512
22,91.56514681080284,71.31220646504755,69.78648151384367,5.870594538175142,4.841233674462859,4.798700025865248
23,86.46379999792103,78.73196531175734,76.49437750636281,5.7392952975693285,5.451357815649126,5.395239036400001
24,86.18848842229599,73.65880921170428,70.83679962158203,5.769824134719955,5.07957883398016,5.070969259822285
25,85.90061392706313,74.13656053009566,71.53786208746317,5.741359323054761,5.10225299104944,5.0639382300677
26,86.45357194758239,73.96892785359096,73.32207933505931,5.769257812788992,4.930730505423113,4.969139116627353
27,89.48279141490553,70.3205977253147,67.25291418195604,5.842307553146824,4.554264400388811,4.529485646661345
28,83.0839640677392,79.11707907456618,75.7112542966029,5.6496591342912685,4.93365597391462,4.928218817377424
29,79.19437172362855,74.9213546672901,75.97293136836765,5.56757352429948,4.942285657762648,4.975200558042193
30,87.91163337925376,70.83021486555779,68.90639108044284,5.762944910353992,4.790498248347036,4.740648808179202
31,81.0118179043412,74.18663556425722,73.33282617088798,5.567466668037824,5.114140503890031,5.083561753059601
32,80.529694369345,80.39726785846524,80.05216355423828,5.582078221516731,4.919070370547422,4.985464771310766
33,82.36526605077,73.44256690165379,74.29442977571821,5.609748527720258,5.120031380153202,5.1522969949495545
34,81.84904004588272,70.89447787758354,70.52586136664544,5.6282368956745925,4.858532934755712,4.8712471948637
